Trial,A,W,Direction,Method,MT,ID,Result
0,0.3,0.1,-1,Pinch,2.87353,2,HIT
1,0.6,0.1,-1,Pinch,0.9345901,2.807355,HIT
2,0.3,0.18,-1,Pinch,1.114892,1.415038,HIT
3,0.6,0.18,-1,Pinch,1.211878,2.115477,HIT
4,0.3,0.1,1,Pinch,0.9889212,2,HIT
5,0.6,0.1,1,Pinch,1.225714,2.807355,HIT
6,0.3,0.18,1,Pinch,0.8631496,1.415038,HIT
7,0.6,0.18,1,Pinch,1.043888,2.115477,HIT
8,0.3,0.1,-1,Pinch,0.8217802,2,HIT
9,0.6,0.1,-1,Pinch,1.058614,2.807355,HIT
10,0.3,0.18,-1,Pinch,0.8347569,1.415038,HIT
11,0.6,0.18,-1,Pinch,0.9326744,2.115477,HIT
12,0.3,0.1,1,Pinch,0.765728,2,HIT
13,0.6,0.1,1,Pinch,0.9470062,2.807355,HIT
14,0.3,0.18,1,Pinch,0.8490696,1.415038,HIT
15,0.6,0.18,1,Pinch,0.9320774,2.115477,HIT
16,0.3,0.1,-1,Touch,0.7063522,2,HIT
17,0.6,0.1,-1,Touch,0.6151314,2.807355,HIT
18,0.3,0.18,-1,Touch,0.5470791,1.415038,HIT
19,0.6,0.18,-1,Touch,0.7295074,2.115477,HIT
20,0.3,0.1,1,Touch,0.4901924,2,HIT
21,0.6,0.1,1,Touch,0.7280254,2.807355,HIT
22,0.3,0.18,1,Touch,0.6090279,1.415038,HIT
23,0.6,0.18,1,Touch,0.6554718,2.115477,HIT
24,0.3,0.1,-1,Touch,0.5996475,2,HIT
25,0.6,0.1,-1,Touch,0.8470612,2.807355,HIT
26,0.3,0.18,-1,Touch,0.5156937,1.415038,HIT
27,0.6,0.18,-1,Touch,0.6988487,2.115477,HIT
28,0.3,0.1,1,Touch,0.488018,2,HIT
29,0.6,0.1,1,Touch,0.6996193,2.807355,HIT
30,0.3,0.18,1,Touch,0.3682938,1.415038,HIT
31,0.6,0.18,1,Touch,0.6111908,2.115477,HIT
