Trial,A,W,Direction,Method,Feedback,MT,ID,Result
0,0.3,0.1,-1,Touch,Visual,3.279999,2,HIT
1,0.6,0.1,-1,Touch,Visual,0.7674925,2.807355,HIT
2,0.3,0.18,-1,Touch,Visual,0.3596373,1.415038,HIT
3,0.6,0.18,-1,Touch,Visual,0.7419176,2.115477,HIT
4,0.3,0.1,1,Touch,Visual,1.519999,2,HIT
5,0.6,0.1,1,Touch,Visual,0.5754929,2.807355,HIT
6,0.3,0.18,1,Touch,Visual,0.4101877,1.415038,HIT
7,0.6,0.18,1,Touch,Visual,2.032125,2.115477,HIT
8,0.3,0.1,-1,Touch,Audio,0.9373474,2,HIT
9,0.6,0.1,-1,Touch,Audio,0.5301466,2.807355,HIT
10,0.3,0.18,-1,Touch,Audio,0.278532,1.415038,HIT
11,0.6,0.18,-1,Touch,Audio,0.5071831,2.115477,HIT
12,0.3,0.1,1,Touch,Audio,0.7718563,2,HIT
13,0.6,0.1,1,Touch,Audio,0.6691093,2.807355,HIT
14,0.3,0.18,1,Touch,Audio,0.5263004,1.415038,HIT
15,0.6,0.18,1,Touch,Audio,1.07617,2.115477,HIT
16,0.3,0.1,-1,Pinch,Visual,2.838564,2,HIT
17,0.6,0.1,-1,Pinch,Visual,1.879154,2.807355,HIT
18,0.3,0.18,-1,Pinch,Visual,0.2373581,1.415038,HIT
19,0.6,0.18,-1,Pinch,Visual,1.962471,2.115477,HIT
20,0.3,0.1,1,Pinch,Visual,2.642895,2,HIT
21,0.6,0.1,1,Pinch,5.011505,2.807355,MISS
22,0.3,0.18,1,Pinch,5.007595,1.415038,MISS
23,0.6,0.18,1,Pinch,5.026886,2.115477,MISS
24,0.3,0.1,-1,Pinch,5.011116,2,MISS
25,0.6,0.1,-1,Pinch,5.011696,2.807355,MISS
26,0.3,0.18,-1,Pinch,5.025139,1.415038,MISS
27,0.6,0.18,-1,Pinch,Audio,2.325325,2.115477,HIT
28,0.3,0.1,1,Pinch,Audio,2.268257,2,HIT
29,0.6,0.1,1,Pinch,Audio,2.783707,2.807355,HIT
30,0.3,0.18,1,Pinch,Audio,0.4028778,1.415038,HIT
31,0.6,0.18,1,Pinch,Audio,1.456284,2.115477,HIT
